"Block","Vehicle","Distance","Lane","GNDVI","LCI","NDRE","NDVI","OSAVI"
"A","Control",12,3,0.610020200464881,0.222335521048438,0.151072968368262,0.691098296393731,0.479686265625514
"A","Control",13,3,0.602109770444535,0.219040311098329,0.149348759842023,0.681911902615058,0.472072501007622
"A","Control",14,3,0.573751606903888,0.200205729098903,0.13917301060656,0.632675260129677,0.435755212075974
"A","Control",15,3,0.568303701888908,0.194942490665933,0.135791009600923,0.619846268409668,0.422474225998955
"A","Control",16,3,0.560936973357455,0.18896424730991,0.132972412175625,0.603734809607684,0.415825012943357
"A","Control",17,3,0.571972411426847,0.191670366889638,0.134556309038983,0.621434952184648,0.421095589425349
"A","Control",18,3,0.560707319085829,0.180600708076261,0.126750706831998,0.611159525766591,0.410179234130931
"A","Control",19,3,0.530560804564598,0.174050577782092,0.126227394926978,0.558201772973671,0.365198478504317
"A","Control",20,3,0.563194726345766,0.193669329749694,0.135841650663802,0.61681634611052,0.413944709034593
"A","Control",21,3,0.505074008244766,0.155833358336837,0.113686131099677,0.534798714246714,0.347344987590277
"A","Control",22,3,0.547493619531755,0.180222417326427,0.128693138166918,0.585081211777608,0.392955644277876
"A","Control",23,3,0.522067868800582,0.170111385465483,0.124176236450565,0.540703848980147,0.357446263528875
"A","Control",24,3,0.51629394778542,0.162744246459243,0.118834372058767,0.533054404135354,0.351683907353893
"A","Control",25,3,0.494988837040563,0.152700504957096,0.112193502719324,0.506615622369744,0.330752979307549
"A","Control",26,3,0.503568674023584,0.157680138092679,0.115365852439092,0.522061341136151,0.339905422510164
"A","Control",27,3,0.511421843231467,0.162397215722043,0.118261309310563,0.53155479554463,0.347651211518588
"A","Control",28,3,0.479232369891876,0.140437965160439,0.103998932537557,0.487449523377632,0.311868832521091
"A","Control",29,3,0.477985736994885,0.144238823985662,0.10774084233383,0.485153024788924,0.306379823064905
"A","Control",30,3,0.494730248507533,0.151697194598973,0.112481486943355,0.505443886742841,0.321331636280954
